route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11821949021891673,6192449487677451,78,Universit̩ Paul Sabatier / St Orens Lyc̩e,Ligne Universit̩ Paul Sabatier / St Orens Lyc̩e,3,,f40002,FFFFFF
11821949021891674,6192449487677451,79,Ramonville M̩tro / Lab̬ge Couder ou St-Orens Lyc̩e,Ligne Ramonville M̩tro / Lab̬ge Couder ou St-Orens Lyc̩e,3,,26ceff,FFFFFF
11821949021891675,6192449487677451,80,Rangueil / Belberaud La Balme,Ligne Rangueil / Belberaud La Balme,3,,660099,FFFFFF
11821949021891676,6192449487677451,10s,Cours Dillon / Malep̬re,Ligne Cours Dillon / Malep̬re,3,,00c62d,FFFFFF
11821949021891677,6192449487677451,201,Saint Orens / Les Varennes,Ligne Saint Orens / Les Varennes,3,,ffa8ff,FFFFFF
11821949021891678,6192449487677451,202,Castanet Tolosan / Montbrun Lauragais,Ligne Castanet Tolosan / Montbrun Lauragais,3,,94d24d,FFFFFF
11821949021891680,6192449487677451,204,Lab̬ge gare SNCF / Ayguesvives,Ligne Lab̬ge gare SNCF / Ayguesvives,3,,f40002,FFFFFF
11821949021891681,6192449487677451,205,Castanet Tolosan / Ayguesvives,Ligne Castanet Tolosan / Ayguesvives,3,,26ceff,FFFFFF
11821949021891682,6192449487677451,81,Universit̩ Paul Sabatier / Castanet-Tolosan,Ligne Universit̩ Paul Sabatier / Castanet-Tolosan,3,,f400d0,FFFFFF
11821949021891683,6192449487677451,82,Universit̩ Paul Sabatier / Ramonville Midiville,Ligne Universit̩ Paul Sabatier / Ramonville Midiville,3,,f40002,FFFFFF
11821949021891684,6192449487677451,83,Balma - Gramont / St Orens Lyc̩e,Ligne Balma - Gramont / St Orens Lyc̩e,3,,f400d0,FFFFFF
11821949021891694,6192449487677451,A,Basso Cambo / Balma - Gramont,Ligne Basso Cambo / Balma - Gramont,1,,ff0000,FFFFFF
11821949021891895,6192449487677451,43,"Argoulets / St Jean Clinique de l'Union","Ligne Argoulets / St Jean Clinique de l'Union",3,,94d24d,FFFFFF
11821949021891896,6192449487677451,33,Argoulets / Brugui̬res Mairie,Ligne Argoulets / Brugui̬res Mairie,3,,26ceff,FFFFFF
11821949021891897,6192449487677451,35,Balma - Gramont / Dr̩mil Stade,Ligne Balma - Gramont / Dr̩mil Stade,3,,94d24d,FFFFFF
11821949021891898,6192449487677451,37,Jolimont / Ramonville M̩tro,Ligne Jolimont / Ramonville M̩tro,3,,ff5e16,FFFFFF
11821949021891899,6192449487677451,105,La Vache / Bergeron / ZI Euronord,Ligne La Vache / Bergeron / ZI Euronord,3,,ffa8ff,FFFFFF
11821949021891902,6192449487677451,AERO,Navette a̩roport,Ligne Navette a̩roport,3,,ff5e16,FFFFFF
11821949021892003,6192449487677451,T1,A̩roconstellation / Ar̬nes,Ligne A̩roconstellation / Ar̬nes,0,,0040c4,FFFFFF
11821949021892004,6192449487677451,B,Borderouge / Ramonville,Ligne Borderouge / Ramonville,1,,ffff00,FFFFFF
11821949022345006,6192449487677451,109,Malep̬re / Castanet-Tolosan,Ligne Malep̬re / Castanet-Tolosan,3,,ff5e16,FFFFFF
11821949022374900,6192449487677451,36,Roseraie / Borderouge,Ligne Roseraie / Borderouge,3,,8e4a05,FFFFFF
11821949022509040,6192449487677451,21,Basso Cambo / Colomiers Airbus,Ligne Basso Cambo / Colomiers Airbus,3,,00c62d,FFFFFF
11821949023083020,6192449487677451,34,Ar̬nes / Universit̩ Paul Sabatier,Ligne Ar̬nes / Universit̩ Paul Sabatier,3,,ff5e16,FFFFFF
11821949023193145,6192449487677451,23,"Jeanne d'Arc / Rangueil","Ligne Jeanne d'Arc / Rangueil",3,,8e4a05,FFFFFF
11821949023200852,6192449487677451,26,Borderouge / Launaguet Palanque,Ligne Borderouge / Launaguet Palanque,3,,8e4a05,FFFFFF
11821949023200854,6192449487677451,27,Lyc̩e Toulouse-Lautrec / Rangueil,Ligne Lyc̩e Toulouse-Lautrec / Rangueil,3,,94d24d,FFFFFF
11821949023200859,6192449487677451,2s,Cours Dillon / Universit̩ Paul Sabatier,Ligne Cours Dillon / Universit̩ Paul Sabatier,3,,26ceff,FFFFFF
11821949023200862,6192449487677451,12s,Cours Dillon / Basso Cambo,Ligne Cours Dillon / Basso Cambo,3,,00c62d,FFFFFF
11821949023200863,6192449487677451,16s,"Matabiau - Marengo SNCF / Cit̩ de l'Hers ou Sept Deniers","Ligne Matabiau - Marengo SNCF / Cit̩ de l'Hers ou Sept Deniers",3,,26ceff,FFFFFF
11821949023200864,6192449487677451,22s,Matabiau - Marengo SNCF / Gonin,Ligne Matabiau - Marengo SNCF / Gonin,3,,8e4a05,FFFFFF
11821949023200865,6192449487677451,38s,Cours Dillon / Amouroux,Ligne Cours Dillon / Amouroux,3,,26ceff,FFFFFF
11821949023706503,6192449487677451,111,Ramonville M̩tro / Th̩ogone / Ramonville M̩tro,Ligne Ramonville M̩tro / Th̩ogone / Ramonville M̩tro,3,,f400d0,FFFFFF
11821949023707108,6192449487677451,110,Barri̬re de Paris / Glaci̬re Sesqui̬res,Ligne Barri̬re de Paris / Glaci̬re Sesqui̬res,3,,26ceff,FFFFFF
11821949023742784,6192449487677451,112,Ramonville M̩tro / Montjoie,Ligne Ramonville M̩tro / Montjoie,3,,00c62d,FFFFFF
11821949023743333,6192449487677451,29,Grand Rond / La Vache,Ligne Grand Rond / La Vache,3,,f400d0,FFFFFF
11821949023798567,6192449487677451,81s,Universit̩ Paul Sabatier / Castanet -Tolosan,Ligne Universit̩ Paul Sabatier / Castanet -Tolosan,3,,f400d0,FFFFFF
11821949023946608,6192449487677451,88,Ramonville M̩tro / H̫pital Larrey,Ligne Ramonville M̩tro / H̫pital Larrey,3,,b291ff,FFFFFF
11821949023946609,6192449487677451,114,Borderouge / Quartier Virebent,Ligne Borderouge / Quartier Virebent,3,,94d24d,FFFFFF
11821949023946612,6192449487677451,115,St Agne - Gare SNCF / Pech David,Ligne St Agne - Gare SNCF / Pech David,3,,00c62d,FFFFFF
11821949023989725,6192449487677451,25,Blagnac E Zola / A̩roport Toulouse Blagnac,Ligne Blagnac E Zola / A̩roport Toulouse Blagnac,3,,b291ff,FFFFFF
11821949024037461,6192449487677451,88s,Universit̩ Paul Sabatier / CHR Rangueil,Ligne Universit̩ Paul Sabatier / CHR Rangueil,3,,b291ff,FFFFFF
11821949024202292,6192449487677451,79s,Universit̩ Paul Sabatier / St-Orens Lyc̩e,Ligne Universit̩ Paul Sabatier / St-Orens Lyc̩e,3,,26ceff,FFFFFF
11821949024740620,6192449487677451,63,Compans - Caffarelli / Tournefeuille Lyc̩e,Ligne Compans - Caffarelli / Tournefeuille Lyc̩e,3,,ffa8ff,FFFFFF
11821949024910297,6192449487677451,45,"Jeanne d'Arc / Pelletier Purpan","Ligne Jeanne d'Arc / Pelletier Purpan",3,,94d24d,FFFFFF
11821949025413195,6192449487677451,NOCT,Matabiau - Marengo SNCF / Ramonville M̩tro,Ligne Matabiau - Marengo SNCF / Ramonville M̩tro,3,,e30044,FFFFFF
11821953316814849,6192449487677451,11,Basso Cambo - Oncopole - Saint-Agne SNCF,Ligne Basso Cambo - Oncopole - Saint-Agne SNCF,3,,ffa8ff,FFFFFF
11821953316814850,6192449487677451,53,Basso Cambo / Tibaous,Ligne Basso Cambo / Tibaous,3,,33ffff,FFFFFF
11821953316814851,6192449487677451,84,Balma - Gramont / Balma Bicentenaire,Ligne Balma - Gramont / Balma Bicentenaire,3,,33ffff,FFFFFF
11821953316814852,6192449487677451,78s,Universit̩ Paul Sabatier / St Orens Lyc̩e,Ligne Universit̩ Paul Sabatier / St Orens Lyc̩e,3,,f40002,FFFFFF
